MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,PLAYER_NAME
@CHI,L,32,5,11,0.455,1,5,0.2,0,0,0.0,0,2,2,3,0,0,1,3,11,-22,David Roddy
@MIN,L,23,2,7,0.286,1,2,0.5,3,4,0.75,1,3,4,1,0,0,0,2,8,-13,David Roddy
GSW,W,21,5,12,0.417,2,4,0.5,0,0,0.0,3,4,7,2,0,0,2,1,12,9,David Roddy
NYK,L,35,6,12,0.5,2,4,0.5,0,0,0.0,1,3,4,1,2,0,2,4,14,-19,David Roddy
LAC,L,27,7,11,0.636,3,5,0.6,0,0,0.0,1,5,6,4,1,0,2,3,17,-5,David Roddy
@DAL,W,25,3,7,0.429,1,2,0.5,4,4,1.0,2,3,5,3,0,0,2,2,11,11,David Roddy
@LAL,W,7,0,2,0.0,0,1,0.0,0,0,0.0,0,2,2,0,0,0,0,1,0,0,David Roddy
TOR,L,8,0,2,0.0,0,2,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-10,David Roddy
SAS,W,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-4,David Roddy
SAC,L,11,0,3,0.0,0,2,0.0,2,2,1.0,0,0,0,1,0,0,1,0,2,-13,David Roddy
@LAC,L,22,1,3,0.333,0,1,0.0,2,3,0.667,0,2,2,1,0,0,1,1,4,7,David Roddy
@DEN,L,29,5,9,0.556,1,2,0.5,4,8,0.5,0,0,0,2,0,0,0,0,15,-11,David Roddy
@NOP,W,16,3,7,0.429,2,5,0.4,0,0,0.0,1,3,4,1,0,0,0,0,8,1,David Roddy
@NOP,W,9,0,2,0.0,0,1,0.0,0,0,0.0,1,0,1,3,0,0,1,0,0,7,David Roddy
@OKC,L,22,2,5,0.4,1,3,0.333,3,3,1.0,0,4,4,1,1,0,3,1,8,-1,David Roddy
HOU,L,28,3,10,0.3,1,6,0.167,2,2,1.0,1,4,5,2,0,1,0,2,9,-3,David Roddy
@HOU,L,32,3,14,0.214,2,7,0.286,1,2,0.5,1,5,6,4,1,0,1,1,9,1,David Roddy
DAL,L,29,3,9,0.333,1,5,0.2,1,2,0.5,2,4,6,2,1,0,1,1,8,1,David Roddy
MIN,L,25,6,11,0.545,1,4,0.25,0,0,0.0,0,3,3,0,0,0,0,0,13,-11,David Roddy
@DET,W,22,1,3,0.333,1,2,0.5,1,2,0.5,1,5,6,1,2,0,3,1,4,-5,David Roddy
@PHX,L,30,3,7,0.429,2,3,0.667,0,0,0.0,2,4,6,1,1,0,1,2,8,-10,David Roddy
@DAL,W,24,2,9,0.222,0,3,0.0,2,2,1.0,1,5,6,3,1,1,1,2,6,12,David Roddy
UTA,W,25,7,11,0.636,5,9,0.556,0,0,0.0,1,5,6,1,0,0,0,2,19,0,David Roddy
MIN,L,28,4,9,0.444,2,5,0.4,1,1,1.0,2,2,4,2,0,0,1,2,11,-5,David Roddy
PHX,L,27,5,9,0.556,2,4,0.5,2,3,0.667,0,4,4,0,2,1,2,0,14,-15,David Roddy
@HOU,L,22,2,7,0.286,0,1,0.0,0,0,0.0,0,6,6,1,0,0,2,0,4,-5,David Roddy
BOS,L,20,0,2,0.0,0,2,0.0,0,0,0.0,0,2,2,0,0,0,0,0,0,-3,David Roddy
@SAS,W,26,0,5,0.0,0,3,0.0,0,2,0.0,2,2,4,1,2,0,1,1,0,16,David Roddy
@LAL,L,31,6,17,0.353,2,8,0.25,3,4,0.75,1,2,3,3,2,2,0,2,17,-7,David Roddy
@LAC,W,21,4,7,0.571,0,1,0.0,0,0,0.0,4,2,6,0,1,1,0,1,8,-5,David Roddy
UTA,L,19,3,9,0.333,1,5,0.2,0,0,0.0,1,2,3,0,0,0,2,1,7,-6,David Roddy
MIA,L,13,1,2,0.5,0,0,0.0,2,2,1.0,2,1,3,0,1,0,2,2,4,10,David Roddy
@POR,W,13,2,5,0.4,0,1,0.0,0,0,0.0,0,2,2,0,1,0,0,1,4,5,David Roddy
@POR,L,32,8,14,0.571,0,4,0.0,0,0,0.0,1,2,3,0,0,0,0,4,16,-13,David Roddy
@UTA,L,24,4,8,0.5,1,3,0.333,0,0,0.0,1,2,3,1,0,1,1,1,9,-17,David Roddy
DAL,L,29,4,8,0.5,0,1,0.0,1,2,0.5,1,4,5,2,0,1,0,2,9,-2,David Roddy
@WAS,L,24,5,8,0.625,3,4,0.75,1,1,1.0,0,6,6,2,0,1,1,3,14,0,David Roddy
DEN,L,15,0,4,0.0,0,2,0.0,0,0,0.0,0,2,2,2,1,0,2,3,0,-8,David Roddy
NOP,L,28,4,7,0.571,1,3,0.333,0,0,0.0,1,4,5,2,0,0,1,2,9,-3,David Roddy
HOU,L,10,2,3,0.667,0,0,0.0,0,2,0.0,1,1,2,0,0,0,0,0,4,4,Thaddeus Young
@HOU,L,19,1,3,0.333,0,0,0.0,0,0,0.0,6,2,8,0,1,0,1,4,2,-1,Thaddeus Young
@CHA,W,15,2,3,0.667,0,0,0.0,0,0,0.0,3,5,8,2,1,0,1,2,4,0,Thaddeus Young
@NOP,L,15,1,1,1.0,0,0,0.0,1,2,0.5,1,1,2,0,0,0,0,0,3,-13,Thaddeus Young
@OKC,L,19,3,4,0.75,0,1,0.0,0,0,0.0,1,4,5,4,1,1,0,1,6,2,Thaddeus Young
@HOU,L,25,4,4,1.0,0,0,0.0,0,1,0.0,1,3,4,1,0,0,2,2,8,-10,Thaddeus Young
@CHI,W,32,8,13,0.615,0,1,0.0,0,0,0.0,4,2,6,6,0,0,1,5,16,15,Thaddeus Young
@ATL,L,22,2,3,0.667,0,0,0.0,0,0,0.0,1,3,4,1,0,0,0,2,4,-18,Thaddeus Young
LAC,L,24,6,6,1.0,0,0,0.0,0,2,0.0,4,2,6,4,1,1,0,3,12,-15,Thaddeus Young
MEM,L,26,5,8,0.625,0,0,0.0,2,2,1.0,2,4,6,4,3,0,0,1,12,0,Thaddeus Young
@NYK,L,15,2,4,0.5,0,0,0.0,0,0,0.0,1,1,2,1,2,0,0,2,4,-11,Thaddeus Young
CHI,L,15,3,4,0.75,0,0,0.0,0,0,0.0,1,1,2,2,0,0,0,2,6,-19,Thaddeus Young
MIA,W,28,2,6,0.333,0,0,0.0,1,2,0.5,2,6,8,2,1,0,0,3,5,21,Thaddeus Young
BOS,L,16,0,4,0.0,0,1,0.0,0,0,0.0,2,2,4,7,2,0,0,2,0,6,Thaddeus Young
@UTA,L,12,0,1,0.0,0,0,0.0,0,0,0.0,0,2,2,2,0,0,0,5,0,2,Thaddeus Young
@LAC,L,23,4,5,0.8,0,1,0.0,0,0,0.0,2,2,4,3,2,0,2,1,8,-2,Thaddeus Young
@LAL,L,29,5,9,0.556,0,1,0.0,0,0,0.0,1,4,5,4,3,1,0,4,10,7,Thaddeus Young
@GSW,W,4,1,2,0.5,1,1,1.0,0,0,0.0,0,0,0,0,0,0,1,0,3,-5,Thaddeus Young
CLE,W,2,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,4,Thaddeus Young
@DET,L,11,3,5,0.6,0,0,0.0,0,0,0.0,1,0,1,1,2,0,2,3,6,-9,Thaddeus Young
@WAS,W,5,1,1,1.0,0,0,0.0,1,1,1.0,1,2,3,3,0,0,1,0,3,4,Thaddeus Young
ATL,L,3,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,1,Thaddeus Young
MIL,L,4,0,1,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,1,0,0,4,Thaddeus Young
@BOS,L,4,2,3,0.667,0,0,0.0,0,0,0.0,1,0,1,2,0,0,0,0,4,6,Thaddeus Young
@PHI,L,2,0,0,0.0,0,0,0.0,0,2,0.0,0,1,1,1,0,0,0,0,0,1,Thaddeus Young
OKC,L,30,6,15,0.4,3,8,0.375,0,0,0.0,0,0,0,3,0,0,1,0,15,-10,Eric Gordon
@HOU,L,30,2,8,0.25,1,5,0.2,0,0,0.0,0,2,2,2,1,0,1,0,5,-15,Eric Gordon
@DAL,L,35,5,10,0.5,4,7,0.571,2,3,0.667,0,1,1,1,2,1,1,3,16,-7,Eric Gordon
DET,W,24,4,9,0.444,2,6,0.333,3,3,1.0,1,0,1,2,2,2,3,1,13,21,Eric Gordon
SAC,W,27,8,17,0.471,4,9,0.444,3,3,1.0,0,3,3,3,0,1,0,1,23,7,Eric Gordon
@GSW,L,23,2,5,0.4,1,3,0.333,2,2,1.0,0,1,1,0,1,0,1,1,7,-5,Eric Gordon
UTA,W,38,7,8,0.875,3,4,0.75,2,2,1.0,0,2,2,4,1,1,1,0,19,13,Eric Gordon
MIL,W,22,1,4,0.25,1,3,0.333,0,0,0.0,0,4,4,1,0,0,0,2,3,17,Eric Gordon
@WAS,W,19,3,6,0.5,1,3,0.333,0,0,0.0,0,0,0,0,1,0,1,1,7,7,Eric Gordon
@ATL,L,28,2,5,0.4,2,5,0.4,0,0,0.0,0,3,3,1,1,0,2,1,6,-14,Eric Gordon
@BKN,W,32,6,10,0.6,5,9,0.556,0,0,0.0,0,2,2,4,1,0,0,1,17,17,Eric Gordon
@MIA,W,34,8,17,0.471,5,12,0.417,2,2,1.0,2,2,4,5,2,2,3,2,23,8,Eric Gordon
@ORL,L,22,4,5,0.8,1,2,0.5,0,0,0.0,0,1,1,1,0,0,2,1,9,-14,Eric Gordon
@IND,L,30,5,9,0.556,2,6,0.333,2,3,0.667,0,2,2,2,1,0,2,0,14,0,Eric Gordon
IND,W,30,1,6,0.167,0,5,0.0,2,2,1.0,0,3,3,2,0,1,2,2,4,13,Eric Gordon
@NOP,W,26,2,9,0.222,1,8,0.125,0,0,0.0,0,2,2,0,2,0,0,2,5,9,Eric Gordon
SAC,W,24,5,10,0.5,3,7,0.429,0,0,0.0,0,3,3,2,2,0,2,0,13,10,Eric Gordon
@POR,W,24,1,4,0.25,1,3,0.333,0,0,0.0,0,2,2,4,1,0,0,0,3,-1,Eric Gordon
@LAL,W,23,2,11,0.182,1,9,0.111,0,0,0.0,2,1,3,0,0,0,0,0,5,1,Eric Gordon
@LAC,L,25,3,8,0.375,2,7,0.286,4,4,1.0,0,1,1,2,0,0,1,1,12,-20,Eric Gordon
LAC,L,28,5,11,0.455,3,6,0.5,3,4,0.75,1,4,5,1,1,0,1,1,16,2,Eric Gordon
POR,W,20,4,10,0.4,2,6,0.333,2,5,0.4,0,3,3,1,1,0,1,0,12,16,Eric Gordon
ORL,W,30,0,3,0.0,0,2,0.0,0,0,0.0,0,1,1,0,2,0,0,3,0,-3,Eric Gordon
CHA,W,33,7,12,0.583,7,12,0.583,0,0,0.0,0,2,2,1,0,1,4,1,21,5,Eric Gordon
@HOU,W,39,10,15,0.667,7,11,0.636,0,0,0.0,0,0,0,1,0,3,0,1,27,11,Eric Gordon
DAL,L,37,6,12,0.5,2,7,0.286,0,0,0.0,0,1,1,2,0,0,0,3,14,-17,Eric Gordon
@SAC,L,25,0,2,0.0,0,1,0.0,0,0,0.0,0,4,4,2,0,1,0,1,0,-25,Eric Gordon
